Stop,Start
3.8,4.4167
6.2667,9.35
19.833,20.983
21.017,22.033
28.333,30.417
31.65,33.133
34.75,35.467
41.8,43.5
45.717,48.183
55.933,56.617
56.65,57.15
58.75,59.617
63.233,64.917
67.367,68.05
74.733,75.283
80.517,81.35
82.967,83.45
90.583,91.533
95.85,96.567
99.583,100.55
112.68,114.03
122.18,123.88
124.1,125.07
130.75,131.25
136.27,137.08
141.23,142.98
147.27,147.87
155.38,157.08
164.65,166.72
170.2,170.68
177.65,179.25
191.93,192.73
194.83,195.37
199.33,202.57
212.23,213.48
218.97,220.1
221.67,222.25
226.65,227.13
229.42,230.02
231.43,232.02
241.52,244.18
247.88,248.62
253.03,254.58
254.62,255.6
261.85,262.45
265.87,267
272.77,275.9
287.62,289.8
296.23,298.27
