Start,Stop
1.0667,3.9167
4.4167,4.8833
12.883,13.117
14.45,14.5
16.667,19.833
21.15,21.85
30.75,31.583
32.233,35.15
35.85,51.617
53.433,53.667
54.8,55.7
56.25,59.35
59.85,109.28
110.03,132.88
133.45,142.23
143.17,147.22
148,157.03
157.52,158.5
159.05,167.55
168.08,176.12
176.73,207.15
209,218.2
219.05,229
229.9,230.23
231.05,235.22
235.93,241.47
244.5,249.17
249.82,251.38
251.9,263.2
263.98,264.02
265.37,267
268.25,278.47
278.95,284.72
285.48,286.48
286.98,287.77
288.63,288.97
293.27,295.67
297.65,299.78
